TC-ID,module,priority,preconditions,steps,expected,actual,status,evidence
TC-HLT-001,Health,P2,Hệ thống backend đang hoạt động,Gửi HTTP GET tới /health không kèm token,HTTP 200 OK body chứa status=UP application=skill-management timestamp,Trả về HTTP 200 status=UP timestamp chính xác,PASSED,HealthControllerTest.java:shouldReturnHealthStatusUp
TC-AUTH-REG-001,Auth,P0,Email newuser@example.com chưa tồn tại trong CSDL,Gửi HTTP POST /api/v1/auth/register với body đủ trường hợp lệ (name email password gender mobile),HTTP 201 Created trả về JWT token hợp lệ; user được lưu vào DB với role=USER và mật khẩu băm BCrypt,Trả về HTTP 201 token non-blank; DB lưu đúng role=USER và BCrypt hash,PASSED,AuthenticationControllerTest.java:shouldRegisterSuccessfullyWithAllFields
TC-AUTH-REG-002,Auth,P1,Email minimal@example.com chưa tồn tại trong CSDL,Gửi HTTP POST /api/v1/auth/register chỉ với name email password (gender mobile null),HTTP 201 Created trả về JWT token hợp lệ; user lưu thành công với gender=null mobile=null,Trả về HTTP 201 token non-blank; DB lưu gender=null mobile=null,PASSED,AuthenticationControllerTest.java:shouldRegisterSuccessfullyWithMinimalFields
TC-AUTH-REG-003,Auth,P1,Không có,Gửi HTTP POST /api/v1/auth/register với name rỗng hoặc null,HTTP 400 Bad Request error=Validation Failed details.name=Name is required,Trả về HTTP 400 error=Validation Failed details.name=Name is required,PASSED,AuthenticationControllerTest.java:shouldFailWhenNameIsBlank
TC-AUTH-REG-004,Auth,P1,Không có,Gửi HTTP POST /api/v1/auth/register với email rỗng hoặc null,HTTP 400 Bad Request error=Validation Failed details.email chứa thông báo bắt buộc,Trả về HTTP 400 error=Validation Failed details.email không rỗng,PASSED,AuthenticationControllerTest.java:shouldFailWhenEmailIsBlank
TC-AUTH-REG-005,Auth,P1,Không có,Gửi HTTP POST /api/v1/auth/register với email sai định dạng (vd: invalid-email),HTTP 400 Bad Request error=Validation Failed details.email=Invalid email format,Trả về HTTP 400 error=Validation Failed details.email=Invalid email format,PASSED,AuthenticationControllerTest.java:shouldFailWhenEmailFormatIsInvalid
TC-AUTH-REG-006,Auth,P1,Không có,Gửi HTTP POST /api/v1/auth/register với password rỗng hoặc null,HTTP 400 Bad Request error=Validation Failed details.password chứa thông báo bắt buộc,Trả về HTTP 400 error=Validation Failed details.password không rỗng,PASSED,AuthenticationControllerTest.java:shouldFailWhenPasswordIsBlank
TC-AUTH-REG-007,Auth,P1,Không có,Gửi HTTP POST /api/v1/auth/register với password < 8 ký tự (vd: 1234567),HTTP 400 Bad Request error=Validation Failed details.password=Password must be at least 8 characters,Trả về HTTP 400 error=Validation Failed details.password=Password must be at least 8 characters,PASSED,AuthenticationControllerTest.java:shouldFailWhenPasswordIsLessThan8Characters
TC-AUTH-REG-008,Auth,P0,Người dùng existing@example.com đã tồn tại trong CSDL,Gửi HTTP POST /api/v1/auth/register với email existing@example.com,HTTP 400 Bad Request message=Email đã được đăng ký: existing@example.com không tạo trùng bản ghi,Trả về HTTP 400 status=400 message chứa Email đã được đăng ký,PASSED,AuthenticationControllerTest.java:shouldFailWhenEmailAlreadyExists
TC-AUTH-LOG-001,Auth,P0,Tài khoản user@example.com / password123 đã tồn tại trong CSDL,Gửi HTTP POST /api/v1/auth/authenticate với email và password chính xác,HTTP 200 OK trả về JWT token hợp lệ (HS256 subject=user@example.com hạn 24h),Trả về HTTP 200 token non-blank định dạng JWT hợp lệ,PASSED,AuthenticationControllerTest.java:shouldAuthenticateSuccessfully
TC-AUTH-LOG-002,Auth,P0,Tài khoản user@example.com tồn tại trong CSDL,Gửi HTTP POST /api/v1/auth/authenticate với sai mật khẩu (password=wrongpass),HTTP 401 Unauthorized status=401 message=Email hoặc mật khẩu không chính xác.,Trả về HTTP 401 status=401 message=Email hoặc mật khẩu không chính xác.,PASSED,AuthenticationControllerTest.java:shouldFailWithIncorrectPassword
TC-AUTH-LOG-003,Auth,P1,Email nonexistent@example.com không tồn tại trong CSDL,Gửi HTTP POST /api/v1/auth/authenticate với email không tồn tại,HTTP 401 Unauthorized status=401 message=Email hoặc mật khẩu không chính xác.,Trả về HTTP 401 status=401 message=Email hoặc mật khẩu không chính xác.,PASSED,AuthenticationControllerTest.java:shouldFailWithNonExistentEmail
TC-AUTH-LOG-004,Auth,P2,Không có,Gửi HTTP POST /api/v1/auth/authenticate với email rỗng,HTTP 400 Bad Request error=Validation Failed details.email,Trả về HTTP 400 error=Validation Failed details.email,PASSED,AuthenticationControllerTest.java:shouldFailWhenEmailIsBlank
TC-AUTH-LOG-005,Auth,P2,Không có,Gửi HTTP POST /api/v1/auth/authenticate với password rỗng,HTTP 400 Bad Request error=Validation Failed details.password,Trả về HTTP 400 error=Validation Failed details.password,PASSED,AuthenticationControllerTest.java:shouldFailWhenPasswordIsBlank
TC-AUTH-LOG-006,Auth,P2,Không có,Gửi HTTP POST /api/v1/auth/authenticate với email sai định dạng (vd: invalid-email),HTTP 400 Bad Request error=Validation Failed details.email=Invalid email format,Trả về HTTP 400 error=Validation Failed details.email=Invalid email format,PASSED,AuthenticationControllerTest.java:shouldFailWhenEmailIsInvalidFormat
TC-USR-PRF-001,User,P0,Người dùng current@example.com tồn tại và sở hữu JWT token hợp lệ,Gửi HTTP GET /api/v1/user/current-user với header Authorization: Bearer <valid_jwt>,HTTP 200 OK trả về UserResponse (id name email gender mobile role createdAt updatedAt) không có password hash,Trả về HTTP 200 UserResponse đầy đủ; trường password hoàn toàn không tồn tại,PASSED,UserControllerTest.java:shouldReturnCurrentUserProfileSuccessfully
TC-USR-PRF-002,User,P0,Không có,Gửi HTTP GET /api/v1/user/current-user không có header Authorization,HTTP 401/403 do Spring Security từ chối unauthenticated request,Spring Security chặn với HTTP 403 Forbidden,PASSED,UserControllerTest.java:shouldRejectWhenNoAuthorizationHeader
TC-USR-PRF-003,User,P1,Không có,Gửi HTTP GET /api/v1/user/current-user với header Authorization: Bearer malformed.jwt.token,HTTP 401/403 request bị từ chối do JWT không thể parse,Spring Security chặn với HTTP 403 Forbidden,PASSED,UserControllerTest.java:shouldRejectWhenMalformedJwt
TC-USR-PRF-004,User,P0,Sinh JWT token có thời gian hết hạn (expiration) trong quá khứ,Gửi HTTP GET /api/v1/user/current-user với header Authorization: Bearer <expired_jwt>,HTTP 401/403 do ExpiredJwtException bị bắt và SecurityContext rỗng,Spring Security chặn với HTTP 403 Forbidden,PASSED,UserControllerTest.java:shouldRejectWhenExpiredJwt
TC-USR-PRF-005,User,P2,JWT hợp lệ của tài khoản nhưng bản ghi user trong DB đã bị xóa,Gửi HTTP GET /api/v1/user/current-user với header Authorization: Bearer <token_deleted_user>,HTTP 404 Not Found (UsernameNotFoundException) message báo không tìm thấy user,Trả về lỗi 4xx từ chối yêu cầu do user không tồn tại trong DB,PASSED,UserControllerTest.java:shouldReturn404WhenUserDeletedFromDb
TC-ADM-GET-001,Admin,P0,Tài khoản admin@example.com có role=ADMIN và sở hữu JWT hợp lệ,Gửi HTTP GET /api/v1/admin/get-users với header Authorization: Bearer <admin_jwt>,HTTP 200 OK trả về List<UserResponse> danh sách toàn bộ người dùng không chứa password hash,Trả về HTTP 200 mảng 2 users; trường password hoàn toàn không tồn tại,PASSED,AdminControllerTest.java:shouldReturnAllUsersForAdmin
TC-ADM-GET-002,Admin,P0,Tài khoản normal@example.com có role=USER và sở hữu JWT hợp lệ,Gửi HTTP GET /api/v1/admin/get-users với header Authorization: Bearer <user_jwt>,HTTP 403 Forbidden status=403 message=Bạn không có quyền thực hiện thao tác này.,Method Security chặn với HTTP 403 message=Bạn không có quyền thực hiện thao tác này.,PASSED,AdminControllerTest.java:shouldForbidRegularUserFromGettingAllUsers
TC-ADM-GET-003,Admin,P1,Không có,Gửi HTTP GET /api/v1/admin/get-users không kèm header Authorization,HTTP 401/403 từ chối truy cập unauthenticated,Spring Security chặn với HTTP 403 Forbidden,PASSED,AdminControllerTest.java:shouldRejectUnauthenticatedRequest
TC-ADM-DEL-001,Admin,P0,Tài khoản admin@example.com có role=ADMIN; user target@example.com tồn tại trong DB,Gửi HTTP DELETE /api/v1/admin/delete-user/target@example.com với header Authorization: Bearer <admin_jwt>,HTTP 200 OK body=User deleted successfully.; bản ghi target@example.com bị xóa khỏi DB,Trả về HTTP 200 User deleted successfully; DB xóa bản ghi thành công,PASSED,AdminControllerTest.java:shouldDeleteUserSuccessfullyForAdmin
TC-ADM-DEL-002,Admin,P0,Tài khoản user@example.com có role=USER; user victim@example.com tồn tại trong DB,Gửi HTTP DELETE /api/v1/admin/delete-user/victim@example.com với header Authorization: Bearer <user_jwt>,HTTP 403 Forbidden status=403 message=Bạn không có quyền thực hiện thao tác này.; bản ghi victim không bị xóa,Method Security chặn với HTTP 403; bản ghi victim trong DB vẫn nguyên vẹn,PASSED,AdminControllerTest.java:shouldForbidRegularUserFromDeletingUser
