TC-ID,module,priority,preconditions,steps,expected,actual,status,evidence
TC-HLT-001,Health,P2,Hệ thống backend đang hoạt động,Gửi HTTP GET tới /health không kèm token,HTTP 200 OK body chứa status=UP application=skill-management timestamp,Chưa thực thi,PENDING,-
TC-AUTH-REG-001,Auth,P0,Email newuser@example.com chưa tồn tại trong CSDL,Gửi HTTP POST /api/v1/auth/register với body đủ trường hợp lệ (name email password gender mobile),HTTP 201 Created trả về JWT token hợp lệ; user được lưu vào DB với role=USER và mật khẩu băm BCrypt,Chưa thực thi,PENDING,-
TC-AUTH-REG-002,Auth,P1,Email minimal@example.com chưa tồn tại trong CSDL,Gửi HTTP POST /api/v1/auth/register chỉ với name email password (gender mobile null),HTTP 201 Created trả về JWT token hợp lệ; user lưu thành công với gender=null mobile=null,Chưa thực thi,PENDING,-
TC-AUTH-REG-003,Auth,P1,Không có,Gửi HTTP POST /api/v1/auth/register với name rỗng hoặc null,HTTP 400 Bad Request error=Validation Failed details.name=Name is required,Chưa thực thi,PENDING,-
TC-AUTH-REG-004,Auth,P1,Không có,Gửi HTTP POST /api/v1/auth/register với email rỗng hoặc null,HTTP 400 Bad Request error=Validation Failed details.email chứa thông báo bắt buộc,Chưa thực thi,PENDING,-
TC-AUTH-REG-005,Auth,P1,Không có,Gửi HTTP POST /api/v1/auth/register với email sai định dạng (vd: invalid-email),HTTP 400 Bad Request error=Validation Failed details.email=Invalid email format,Chưa thực thi,PENDING,-
TC-AUTH-REG-006,Auth,P1,Không có,Gửi HTTP POST /api/v1/auth/register với password rỗng hoặc null,HTTP 400 Bad Request error=Validation Failed details.password chứa thông báo bắt buộc,Chưa thực thi,PENDING,-
TC-AUTH-REG-007,Auth,P1,Không có,Gửi HTTP POST /api/v1/auth/register với password < 8 ký tự (vd: 1234567),HTTP 400 Bad Request error=Validation Failed details.password=Password must be at least 8 characters,Chưa thực thi,PENDING,-
TC-AUTH-REG-008,Auth,P0,Người dùng existing@example.com đã tồn tại trong CSDL,Gửi HTTP POST /api/v1/auth/register với email existing@example.com,HTTP 400 Bad Request message=Email đã được đăng ký: existing@example.com không tạo trùng bản ghi,Chưa thực thi,PENDING,-
TC-AUTH-LOG-001,Auth,P0,Tài khoản user@example.com / password123 đã tồn tại trong CSDL,Gửi HTTP POST /api/v1/auth/authenticate với email và password chính xác,HTTP 200 OK trả về JWT token hợp lệ (HS256 subject=user@example.com hạn 24h),Chưa thực thi,PENDING,-
